amplitude,duration,energy,rms,rise_time,counts,label
0.00035621,0.0014742,451.9109459,9.92E-06,3.39E-05,42,0
0.000167449,0.0005304,153.746258,1.00E-05,0.0001867,13,0
0.000120259,0.0008438,131.9116526,9.60E-06,3.80E-06,6,0
0.000347076,0.0011287,402.6674512,9.80E-06,7.10E-06,38,0
0.000266396,0.0022056,781.6318209,1.05E-05,0.0004626,90,0
0.000130915,0.0004876,135.242894,9.91E-06,0.000224,10,0
0.00012787,0.0003268,112.3739438,9.76E-06,0.0002302,6,0
0.000252696,0.0010932,622.760184,1.13E-05,0.000132,59,0
0.001303058,0.0057608,15119.27506,1.13E-05,0.0008532,568,0
0.000962071,0.0040933,6549.777252,1.04E-05,0.0002303,355,0
0.000552582,0.0040949,4149.30357,9.88E-06,1.05E-05,359,0
0.000246607,0.0019583,395.8371967,1.04E-05,1.66E-05,23,0
